trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,textbox.started,textbox.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,block_type,learning_type,trial_type,image_path,x_image,trial,person.started,person.stopped,text.started,text.stopped,text_2.started,text_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_4.started,text_4.stopped,line.started,line.stopped,text_5.started,text_5.stopped,reward_a,reward_d,reward,image.started,image.stopped,text_3.started,text_3.stopped,line_2.started,line_2.stopped,text_6.started,text_6.stopped,session,exp_id,age,sex(M or F),date,expName,psychopyVersion,frameRate,
,,,,48.06857199524529,None,f,0.5287106933537871,48.06857199524529,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,52,F,2021_Aug_02_0108,Social Reinforcement Learning,2021.1.4,60.07323886431752,
0,0,0,0,,,,,,,Private,PL,Private,images/Private_trial.png,0.5,1,49.184774965106044,None,50.18537822389044,51.462784029426984,50.94892013911158,51.462784029426984,d,8.043534187832847,51.43937268987065,None,59.50907361258869,None,48.693995303532574,None,49.184774965106044,None,0.7,0.30000000000000004,-1,59.58094650396379,None,60.05613585689571,None,59.58094650396379,None,59.58094650396379,None,3,2,52,F,2021_Aug_02_0108,Social Reinforcement Learning,2021.1.4,60.07323886431752,
1,0,1,0,,,,,,,Private,PL,Private,images/Private_trial.png,0.5,2,62.02224472316448,None,63.02350378391566,64.28772480972111,63.775919189385604,64.28772480972111,d,0.23459734546486288,64.27058783557732,None,None,None,61.538358488236554,None,62.02224472316448,None,0.7,0.30000000000000004,1,64.55953733570641,None,65.05362089589471,None,64.55953733570641,None,64.55953733570641,None,3,2,52,F,2021_Aug_02_0108,Social Reinforcement Learning,2021.1.4,60.07323886431752,
2,0,2,0,,,,,,,Private,PL,Private,images/Private_trial.png,0.5,3,67.0648505166755,None,68.05091591039672,69.3146446896717,68.81749071209924,69.3314533677767,d,0.6612435269635171,69.3146446896717,None,70.00360675274278,None,66.56729871226707,None,67.0648505166755,None,0.7,0.30000000000000004,1,70.02079405763652,None,70.49731200211681,71.99602844758192,70.02079405763652,None,70.02079405763652,None,3,2,52,F,2021_Aug_02_0108,Social Reinforcement Learning,2021.1.4,60.07323886431752,
3,0,3,0,,,,,,,Private,PL,Private,images/Private_trial.png,0.5,4,72.53624846518505,None,73.5304145932896,74.79023858549772,74.2761096089962,74.79023858549772,d,0.5996064398204908,74.77214082202408,None,75.39381523455377,None,72.03232273989124,None,72.53624846518505,None,0.7,0.30000000000000004,1,75.41989537194604,None,75.90161350986455,77.40655533311656,75.41989537194604,None,75.41989537194604,None,3,2,52,F,2021_Aug_02_0108,Social Reinforcement Learning,2021.1.4,60.07323886431752,
4,0,4,0,,,,,,,Private,PL,Private,images/Private_trial.png,0.5,5,77.90622032101965,None,78.9053634328302,80.15438012493541,79.6547005197499,80.15438012493541,d,0.5656659234082326,80.15438012493541,None,80.74139935495914,None,77.42342287534848,None,77.90622032101965,None,0.7,0.30000000000000004,1,80.75576236582128,None,81.23666549200425,82.75172523321817,80.75576236582128,None,80.75576236582128,None,3,2,52,F,2021_Aug_02_0108,Social Reinforcement Learning,2021.1.4,60.07323886431752,
5,0,5,0,,,,,,,Private,PL,Private,images/Private_trial.png,0.5,6,83.25264493620489,None,84.25380799698178,85.51469865505351,85.00289461499779,85.51469865505351,d,1.1991777191869915,85.51469865505351,None,86.73132370862295,None,82.76881954068085,None,83.25264493620489,None,0.7,0.30000000000000004,-1,86.74157413013745,None,87.23844998446293,None,86.74157413013745,None,86.74157413013745,None,3,2,52,F,2021_Aug_02_0108,Social Reinforcement Learning,2021.1.4,60.07323886431752,
6,0,6,0,,,,,,,Private,PL,Private,images/Private_trial.png,0.5,7,89.24619990424253,None,90.24605886731297,91.50155140622519,90.99413294292754,91.50155140622519,d,1.144334503216669,91.50155140622519,None,92.67625135703129,None,88.75217125756899,None,89.24619990424253,None,0.7,0.30000000000000004,1,92.70348665403435,None,93.20239154383307,None,92.70348665403435,None,92.70348665403435,None,3,2,52,F,2021_Aug_02_0108,Social Reinforcement Learning,2021.1.4,60.07323886431752,
7,0,7,0,,,,,,,Private,PL,Private,images/Private_trial.png,0.5,8,95.20917040266795,None,96.20821553922724,97.47125019558007,96.97201779991155,97.47125019558007,d,2.0093432025169022,97.47125019558007,None,99.5016926801356,None,94.7169594335137,None,95.20917040266795,None,0.7,0.30000000000000004,-1,99.54049735073932,None,100.016843838559,101.5259464486735,99.54049735073932,None,99.54049735073932,None,3,2,52,F,2021_Aug_02_0108,Social Reinforcement Learning,2021.1.4,60.07323886431752,
8,0,8,0,,,,,,,Private,PL,Private,images/Private_trial.png,0.5,9,102.03517468826612,None,103.03668895870214,104.28991898079403,103.80322504439391,104.30757546069799,d,0.7488156058825552,104.28991898079403,None,105.06406102593174,None,101.55561595608015,None,102.03517468826612,None,0.7,0.30000000000000004,-1,105.07399737363448,None,105.5644289861666,107.07759124733275,105.07399737363448,None,105.07399737363448,None,3,2,52,F,2021_Aug_02_0108,Social Reinforcement Learning,2021.1.4,60.07323886431752,
