"trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	textbox.started	textbox.stopped	key_resp_2.keys	key_resp_2.rt	key_resp_2.started	key_resp_2.stopped	block_type	learning_type	trial_type	image_path	x_image	trial	person.started	person.stopped	text.started	text.stopped	text_2.started	text_2.stopped	key_resp.keys	key_resp.started	key_resp.stopped	text_4.started	text_4.stopped	line.started	line.stopped	text_5.started	text_5.stopped	reward_a	reward_d	reward	image.started	image.stopped	text_3.started	text_3.stopped	line_2.started	line_2.stopped	text_6.started	text_6.stopped	key_resp.rt	session	exp_id	age	sex(M or F)	date	expName	psychopyVersion	frameRate"
"65	0	65	0							Social	SD	Observational	images/Observational_trial.png	-0.5	66	405.1529318	None	406.1658582	407.4169711	406.900422	407.4169711	None	409.1653944	None	407.8994707	408.8989895	404.6574592	None	405.1529318	None	0.3	0.7	?	409.1812909	None	409.6498389	411.1489547	409.1812909	None	409.1812909	None		2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"66	0	66	0							Social	SD	Private	images/Private_trial.png	0.5	67	411.6961334	None	412.6949849	413.9610355	413.4440384	413.9439882	d	413.9439882	None	414.7937056	None	411.2022707	None	411.6961334	None	0.3	0.7	1	414.8338609	None	415.3142662	None	414.8338609	None	414.8338609	None	0.827387396	2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"67	0	67	0							Social	SD	Observational	images/Observational_trial.png	-0.5	68	417.3278832	None	418.3399377	419.6055509	419.0868337	419.5887565	None	421.337463	None	420.0719438	421.0731749	416.83748	None	417.3278832	None	0.3	0.7	?	421.3716726	None	421.8437587	423.3519203	421.3716726	None	421.3716726	None		2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"68	0	68	0							Social	SD	Private	images/Private_trial.png	0.5	69	423.8688104	None	424.8675059	426.1164064	425.6170946	426.1164064	d	426.1164064	None	None	None	423.3814855	None	423.8688104	None	0.3	0.7	1	426.2625286	None	426.7486746	None	426.2625286	None	426.2625286	None	0.087078647	2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"69	0	69	0							Social	SD	Observational	images/Observational_trial.png	-0.5	70	428.7636664	None	429.7640523	431.0282907	430.5308997	431.0449118	None	432.7936499	None	431.5281971	432.5418137	428.2704697	None	428.7636664	None	0.3	0.7	?	432.8323091	None	433.3240483	None	432.8323091	None	432.8323091	None		2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"70	0	70	0							Social	SD	Observational	images/Observational_trial.png	-0.5	71	435.3076861	None	436.3237552	437.5885175	437.0728572	437.571834	None	439.3367025	None	438.0743154	439.0749305	434.8254374	None	435.3076861	None	0.3	0.7	?	439.3414291	None	439.8364789	None	439.3414291	None	439.3414291	None		2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"71	0	71	0							Social	SD	Private	images/Private_trial.png	0.5	72	441.8513171	None	442.8505629	444.1157546	443.5992378	444.0994409	d	444.0994409	None	445.930948	None	441.3568313	None	441.8513171	None	0.3	0.7	-1	445.9581393	None	446.4469914	None	445.9581393	None	445.9581393	None	1.800847565	2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"72	0	72	0							Social	SD	Observational	images/Observational_trial.png	-0.5	73	448.4616822	None	449.4615945	450.7248856	450.2099424	450.7248856	None	452.4745872	None	451.2129025	452.2207947	447.9678195	None	448.4616822	None	0.3	0.7	?	452.4863423	None	452.9741345	None	452.4863423	None	452.4863423	None		2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"73	0	73	0							Social	SD	Private	images/Private_trial.png	0.5	74	454.9891903	None	455.9882667	457.261631	456.7381407	457.261631	d	457.2366663	None	None	None	454.4924998	None	454.9891903	None	0.3	0.7	-1	457.5983845	None	458.086029	None	457.5983845	None	457.5983845	None	0.332837268	2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"74	0	74	0							Social	SD	Private	images/Private_trial.png	0.5	75	460.0850567	None	461.0908756	462.3576361	461.832761	462.3372608	d	462.3372608	None	None	None	459.6011875	None	460.0850567	None	0.3	0.7	-1	462.5850188	None	463.0690532	464.5798364	462.5850188	None	462.5850188	None	0.209313415	2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"75	0	75	0							Social	SD	Observational	images/Observational_trial.png	-0.5	76	465.0976979	None	466.0971934	467.3608108	466.844637	467.3440665	None	469.1091878	None	467.8466328	468.8591638	464.5998613	None	465.0976979	None	0.3	0.7	?	469.1205313	None	469.6084783	None	469.1205313	None	469.1205313	None		2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"76	0	76	0							Social	SD	Private	images/Private_trial.png	0.5	77	471.6237941	None	472.6223865	473.8879096	473.3718429	473.8712724	d	473.8712724	None	None	None	471.1281078	None	471.6237941	None	0.3	0.7	1	474.1797095	None	474.6704291	None	474.1797095	None	474.1797095	None	0.254030417	2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"77	0	77	0							Social	SD	Observational	images/Observational_trial.png	-0.5	78	476.6870572	None	477.68437	478.9335831	478.4340315	478.9335831	None	480.6983591	None	479.4339825	480.4336846	476.18866	None	476.6870572	None	0.3	0.7	?	480.7273977	None	481.2167844	None	480.7273977	None	480.7273977	None		2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"78	0	78	0							Social	SD	Observational	images/Observational_trial.png	-0.5	79	483.2292869	None	484.2449041	485.493696	484.9940682	485.493696	None	487.2587399	None	485.9946327	487.0089118	482.7438189	None	483.2292869	None	0.3	0.7	?	487.2627332	None	487.758143	None	487.2627332	None	487.2627332	None		2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"79	0	79	0							Social	SD	Private	images/Private_trial.png	0.5	80	489.7951863	None	490.7729159	492.0376466	491.5401434	492.0540381	d	492.0207735	None	None	None	489.2786258	None	489.7951863	None	0.3	0.7	1	492.3667079	None	492.8534314	None	492.3667079	None	492.3667079	None	0.303912846	2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"80	0	80	0							Private	PL	Private	images/Private_trial.png	0.5	81	494.866856	None	495.8510824	497.1161153	496.601577	497.1161153	d	497.0993737	None	None	None	494.3685366	None	494.866856	None	0.3	0.7	1	497.4146339	None	497.8990831	None	497.4146339	None	497.4146339	None	0.285177849	2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"81	0	81	0							Private	PL	Private	images/Private_trial.png	0.5	82	499.8978739	None	500.8966468	502.1627594	501.6494059	502.1627594	d	502.1627594	None	None	None	499.4143294	None	499.8978739	None	0.3	0.7	1	502.5217355	None	503.0105912	None	502.5217355	None	502.5217355	None	0.330618208	2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"82	0	82	0							Private	PL	Private	images/Private_trial.png	0.5	83	505.0092741	None	506.0082434	507.2732458	506.7572419	507.2568235	d	507.2568235	None	None	None	504.5257635	None	505.0092741	None	0.3	0.7	-1	507.6932376	None	508.172276	509.6877442	507.6932376	None	507.6932376	None	0.387960977	2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"83	0	83	0							Private	PL	Private	images/Private_trial.png	0.5	84	510.2002005	None	511.1866041	512.4518029	511.9357701	512.4352704	d	512.4352704	None	514.1501853	None	509.7044435	None	510.2002005	None	0.3	0.7	1	514.158004	None	514.6609366	None	514.158004	None	514.158004	None	1.686521927	2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"84	0	84	0							Private	PL	Private	images/Private_trial.png	0.5	85	516.6484708	None	517.6470474	518.9123864	518.3964327	518.8959246	d	518.8959246	None	519.5292629	None	516.1650681	None	516.6484708	None	0.3	0.7	-1	519.5576971	None	520.0454423	None	519.5576971	None	519.5576971	None	0.615712699	2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"85	0	85	0							Private	PL	Private	images/Private_trial.png	0.5	86	522.0428266	None	523.042383	524.3073254	523.7912409	524.2907684	d	524.2907684	None	None	None	521.5599237	None	522.0428266	None	0.3	0.7	1	524.6146903	None	525.1093392	None	524.6146903	None	524.6146903	None	0.292897349	2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"86	0	86	0							Private	PL	Private	images/Private_trial.png	0.5	87	527.1213238	None	528.1236641	529.3860386	528.8701741	529.3694243	d	529.3694243	None	None	None	526.6255011	None	527.1213238	None	0.3	0.7	1	529.6102269	None	530.1021005	None	529.6102269	None	529.6102269	None	0.209037662	2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"87	0	87	0							Private	PL	Private	images/Private_trial.png	0.5	88	532.1034686	None	533.09977	534.354508	533.8484055	534.354508	d	534.354508	None	536.5462478	None	531.6175683	None	532.1034686	None	0.3	0.7	-1	536.5651488	None	537.0454301	538.560847	536.5651488	None	536.5651488	None	2.175559763	2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"88	0	88	0							Private	PL	Private	images/Private_trial.png	0.5	89	539.0641224	None	540.0803251	541.3433329	540.8260869	541.3293185	d	541.3110255	None	541.9577904	None	538.578639	None	539.0641224	None	0.3	0.7	1	541.9736229	None	542.4622076	None	541.9736229	None	541.9736229	None	0.627775899	2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"89	0	89	0							Private	PL	Private	images/Private_trial.png	0.5	90	544.4558377	None	545.4545312	546.7197272	546.2036	546.7033018	d	546.7033018	None	547.4044544	None	543.9726459	None	544.4558377	None	0.3	0.7	-1	547.4356184	None	547.9209857	None	547.4356184	None	547.4356184	None	0.674492307	2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"90	0	90	0							Private	PL	Private	images/Private_trial.png	0.5	91	549.9173512	None	550.9322339	552.1978934	551.668745	552.1813399	d	552.1646237	None	None	None	549.43383	None	549.9173512	None	0.3	0.7	1	552.46944	None	552.9474264	554.4624755	552.46944	None	552.46944	None	0.263515446	2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"91	0	91	0							Private	PL	Private	images/Private_trial.png	0.5	92	554.9630823	None	555.9670815	557.2267455	556.7117245	557.2267455	d	557.2099159	None	557.8992297	None	554.4795275	None	554.9630823	None	0.3	0.7	1	557.906442	559.90746	558.4088293	None	557.906442	559.90746	557.906442	559.90746	0.673396801	2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"92	0	92	0							Private	PL	Private	images/Private_trial.png	0.5	93	560.407507	None	561.4062788	562.6714689	562.1554294	562.6548036	d	562.6548036	None	563.9865141	None	559.9241684	None	560.407507	None	0.3	0.7	1	563.9908223	None	564.4874406	None	563.9908223	None	563.9908223	None	1.303162625	2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"93	0	93	0							Private	PL	Private	images/Private_trial.png	0.5	94	566.5015372	None	567.5008379	568.7659233	568.249488	568.7491799	d	568.7491799	None	None	None	566.0062937	None	566.5015372	None	0.3	0.7	1	569.0859855	None	569.5814103	571.0857279	569.0859855	None	569.0859855	None	0.301726181	2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"94	0	94	0							Private	PL	Private	images/Private_trial.png	0.5	95	571.5972452	None	572.5959924	573.8641301	573.344938	573.8450775	d	573.8450775	None	574.5608536	None	571.1024639	None	571.5972452	None	0.3	0.7	1	574.57699	None	575.0568624	576.5586354	574.57699	None	574.57699	None	0.692947206	2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"95	0	95	0							Private	PL	Private	images/Private_trial.png	0.5	96	577.074733	None	578.0745153	579.3392681	578.826506	579.3392681	d	579.32267	None	580.5883057	None	576.591979	None	577.074733	None	0.3	0.7	1	580.6019768	None	581.0717013	582.5862648	580.6019768	None	580.6019768	None	1.237954182	2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"96	0	96	0							Private	PL	Private	images/Private_trial.png	0.5	97	583.086855	None	584.0946717	585.3505269	584.8509939	585.3505269	d	585.3505269	None	None	None	582.6032181	None	583.086855	None	0.3	0.7	-1	585.7434724	None	586.2329254	None	585.7434724	None	585.7434724	None	0.353876264	2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"97	0	97	0							Private	PL	Private	images/Private_trial.png	0.5	98	588.2310679	None	589.2315242	590.495471	589.9960616	590.495471	d	590.495471	None	591.0946507	None	587.755308	None	588.2310679	None	0.3	0.7	1	591.104348	None	591.6312031	None	591.104348	None	591.104348	None	0.581944824	2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"98	0	98	0							Private	PL	Private	images/Private_trial.png	0.5	99	593.6097666	None	594.6085621	595.8737767	595.3576392	595.8575555	d	595.8575555	None	598.1801037	None	593.1170958	None	593.6097666	None	0.3	0.7	1	598.1887098	None	598.6878165	None	598.1887098	None	598.1887098	None	2.30213349	2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"99	0	99	0							Private	PL	Private	images/Private_trial.png	0.5	100	600.6865251	None	601.6847837	602.9344234	602.4365595	602.9522031	d	602.9344234	None	604.3496633	None	600.2034468	None	600.6865251	None	0.3	0.7	1	604.3676916	None	604.848923	606.3639507	604.3676916	None	604.3676916	None	1.391160185	2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"																																																		"
