"trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	textbox.started	textbox.stopped	key_resp_2.keys	key_resp_2.rt	key_resp_2.started	key_resp_2.stopped	block_type	learning_type	trial_type	image_path	x_image	trial	person.started	person.stopped	text.started	text.stopped	text_2.started	text_2.stopped	key_resp.keys	key_resp.started	key_resp.stopped	text_4.started	text_4.stopped	line.started	line.stopped	text_5.started	text_5.stopped	reward_a	reward_d	reward	image.started	image.stopped	text_3.started	text_3.stopped	line_2.started	line_2.stopped	text_6.started	text_6.stopped	key_resp.rt	session	exp_id	age	sex(M or F)	date	expName	psychopyVersion	frameRate"
"14	0	14	0							Social	UD	Private	images/Private_trial.png	0.5	15	102.4352838	None	103.4339501	104.699429	104.1831789	104.699429	d	104.6828538	None	105.267453	None	101.9521466	None	102.4352838	None	0.3	0.7	1	105.2931395	None	105.7684142	107.2806256	105.2931395	None	105.2931395	None	0.55557645	2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"15	0	15	0							Social	UD	Private	images/Private_trial.png	0.5	16	107.797055	None	108.7965406	110.0614522	109.5451903	110.0449762	d	110.0449762	None	None	None	107.2988039	None	107.797055	None	0.3	0.7	-1	110.352377	None	110.8443284	None	110.352377	None	110.352377	None	0.281251728	2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"16	0	16	0							Social	UD	Private	images/Private_trial.png	0.5	17	112.8431424	None	113.8414761	115.1069992	114.5905678	115.0900215	d	115.1069992	None	115.8226786	None	112.3593384	None	112.8431424	None	0.3	0.7	-1	115.8322056	None	116.3222058	None	115.8322056	None	115.8322056	None	0.700256632	2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"17	0	17	0							Social	UD	Private	images/Private_trial.png	0.5	18	118.3206386	None	119.319355	120.5848501	120.0787662	120.5848501	d	120.5682113	None	None	None	117.8374907	None	118.3206386	None	0.3	0.7	1	121.0293238	None	121.5173693	123.0187962	121.0293238	None	121.0293238	None	0.426562033	2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"18	0	18	0							Social	UD	Private	images/Private_trial.png	0.5	19	123.5323729	None	124.5337114	125.7968357	125.2803929	125.7800938	d	125.7800938	None	126.3462958	None	123.0389685	None	123.5323729	None	0.3	0.7	-1	126.3541433	None	126.8601708	None	126.3541433	None	126.3541433	None	0.547071568	2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"19	0	19	0							Social	UD	Private	images/Private_trial.png	0.5	20	128.8444722	None	129.8433724	131.0987875	130.59225	131.0987875	d	131.0987875	None	131.6580174	None	128.3609115	None	128.8444722	None	0.3	0.7	1	131.6771029	None	132.1575007	133.671367	131.6771029	None	131.6771029	None	0.535278589	2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"20	0	20	0							Social	UD	Observational	images/Observational_trial.png	-0.5	21	134.2082298	None	135.20421	136.4534803	135.9539765	136.4534803	None	138.2216144	None	136.9579248	137.9686175	133.7150027	None	134.2082298	None	0.3	0.7	?	138.2673586	None	138.7601531	None	138.2673586	None	138.2673586	None		2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"21	0	21	0							Social	UD	Observational	images/Observational_trial.png	-0.5	22	140.7492383	None	141.7632847	143.0144225	142.4975656	142.9990005	None	144.7624602	None	143.4981049	144.5107571	140.2644075	None	140.7492383	None	0.3	0.7	?	144.776178	None	145.2725055	None	144.776178	None	144.776178	None		2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"22	0	22	0							Social	UD	Private	images/Private_trial.png	0.5	23	147.2933675	None	148.2929084	149.5585706	149.0462791	149.5585706	d	149.541551	None	None	None	146.7974631	None	147.2933675	None	0.3	0.7	-1	149.7507186	None	150.2404269	None	149.7507186	None	149.7507186	None	0.154248965	2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"23	0	23	0							Social	UD	Private	images/Private_trial.png	0.5	24	152.2580944	None	153.2383528	154.4870333	153.9871641	154.4870333	d	154.4870333	None	155.6355997	None	151.7557003	None	152.2580944	None	0.3	0.7	1	155.6820123	None	156.1685454	None	155.6820123	None	155.6820123	None	1.120928695	2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
