"trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	textbox.started	textbox.stopped	key_resp_2.keys	key_resp_2.rt	key_resp_2.started	key_resp_2.stopped	block_type	learning_type	trial_type	image_path	x_image	trial	person.started	person.stopped	text.started	text.stopped	text_2.started	text_2.stopped	key_resp.keys	key_resp.rt	key_resp.started	key_resp.stopped	text_4.started	text_4.stopped	line.started	line.stopped	text_5.started	text_5.stopped	reward_a	reward_d	reward	image.started	image.stopped	text_3.started	text_3.stopped	line_2.started	line_2.stopped	text_6.started	text_6.stopped	session	exp_id	age	sex(M or F)	date	expName	psychopyVersion	frameRate"
"				29.79053883	None	f	7.797147815	29.79053883	None																																		2	3	18	M	2021_Aug_01_2005	Social Reinforcement Learning	2021.1.4	59.84018988"
"0	0	0	0							Private	PL	Private	images/Private_trial.png	0.5	1	38.17823551	None	39.17745132	40.42642613	39.92653793	40.42642613	a	2.51588858	40.42642613	None	42.95730824	None	37.68223195	None	38.17823551	None	0.3	0.7	-1	43.015055	None	43.48960238	None	43.015055	None	43.015055	None	2	3	18	M	2021_Aug_01_2005	Social Reinforcement Learning	2021.1.4	59.84018988"
"1	0	1	0							Private	PL	Private	images/Private_trial.png	0.5	2	45.47238086	None	46.47207192	47.73586391	47.21947518	47.71900388	d	0.780194544	47.71900388	None	48.51833061	None	44.98827181	None	45.47238086	None	0.3	0.7	1	48.52504255	None	49.01774379	50.53177558	48.52504255	None	48.52504255	None	2	3	18	M	2021_Aug_01_2005	Social Reinforcement Learning	2021.1.4	59.84018988"
"2	0	2	0							Private	PL	Private	images/Private_trial.png	0.5	3	51.05045645	None	52.07382829	53.33056764	52.80333448	53.31374553	d	0.951169619	53.29724618	None	54.26392884	None	50.55250485	None	51.05045645	None	0.3	0.7	1	54.28998535	None	54.77390793	56.29314979	54.28998535	None	54.28998535	None	2	3	18	M	2021_Aug_01_2005	Social Reinforcement Learning	2021.1.4	59.84018988"
"3	0	3	0							Private	PL	Private	images/Private_trial.png	0.5	4	56.81057042	None	57.81018721	59.07597545	58.56379175	59.07597545	d	1.216513014	59.07597545	None	60.30971132	None	56.3174595	None	56.81057042	None	0.3	0.7	1	60.33409554	None	60.8075241	62.32199836	60.33409554	None	60.33409554	None	2	3	18	M	2021_Aug_01_2005	Social Reinforcement Learning	2021.1.4	59.84018988"
"4	0	4	0							Private	PL	Private	images/Private_trial.png	0.5	5	62.82306108	None	63.82285249	65.0852827	64.57066543	65.0852827	d	0.852721894	65.0852827	None	65.95365985	None	62.33869761	None	62.82306108	None	0.3	0.7	1	65.98546213	None	66.46804704	None	65.98546213	None	65.98546213	None	2	3	18	M	2021_Aug_01_2005	Social Reinforcement Learning	2021.1.4	59.84018988"
"5	0	5	0							Private	PL	Private	images/Private_trial.png	0.5	6	68.4669464	None	69.4675623	70.71482097	70.21545385	70.71482097	d	0.930954721	70.71482097	None	71.6633387	None	67.98356663	None	68.4669464	None	0.3	0.7	1	71.66806189	None	72.16294387	None	71.66806189	None	71.66806189	None	2	3	18	M	2021_Aug_01_2005	Social Reinforcement Learning	2021.1.4	59.84018988"
"6	0	6	0							Private	PL	Private	images/Private_trial.png	0.5	7	74.16089113	None	75.16249666	76.42649843	75.91116609	76.42649843	d	0.664912067	76.42649843	None	77.10820788	None	73.678117	None	74.16089113	None	0.3	0.7	1	77.11684969	None	77.60779409	None	77.11684969	None	77.11684969	None	2	3	18	M	2021_Aug_01_2005	Social Reinforcement Learning	2021.1.4	59.84018988"
"7	0	7	0							Private	PL	Private	images/Private_trial.png	0.5	8	79.60713038	None	80.60672663	81.87043724	81.35464782	81.85372693	d	0.948867596	81.85372693	None	82.81983991	None	79.12322598	None	79.60713038	None	0.3	0.7	-1	82.82774888	None	83.31901091	84.81804143	82.82774888	None	82.82774888	None	2	3	18	M	2021_Aug_01_2005	Social Reinforcement Learning	2021.1.4	59.84018988"
"8	0	8	0							Private	PL	Private	images/Private_trial.png	0.5	9	85.33442265	None	86.33323312	87.58351401	87.08245998	87.58351401	a	0.419900113	87.58351401	None	None	None	84.83731608	None	85.33442265	None	0.3	0.7	1	88.03784965	None	88.53104156	None	88.03784965	None	88.03784965	None	2	3	18	M	2021_Aug_01_2005	Social Reinforcement Learning	2021.1.4	59.84018988"
"9	0	9	0							Private	PL	Private	images/Private_trial.png	0.5	10	90.5309981	None	91.53212837	92.7933576	92.27766655	92.7767184	a	0.564393036	92.7767184	None	93.35987701	None	90.04615068	None	90.5309981	None	0.3	0.7	1	93.36536662	None	93.86186045	95.36340791	93.36536662	None	93.36536662	None	2	3	18	M	2021_Aug_01_2005	Social Reinforcement Learning	2021.1.4	59.84018988"
"10	0	10	0							Private	PL	Private	images/Private_trial.png	0.5	11	95.87527279	None	96.873064	98.12219131	97.62236395	98.12219131	a	0.882167402	98.12219131	None	99.02996833	None	95.39000977	None	95.87527279	None	0.3	0.7	-1	99.03595019	None	99.53720293	None	99.03595019	None	99.03595019	None	2	3	18	M	2021_Aug_01_2005	Social Reinforcement Learning	2021.1.4	59.84018988"
"11	0	11	0							Private	PL	Private	images/Private_trial.png	0.5	12	101.5375383	None	102.5373199	103.8000539	103.2841049	103.8000539	d	1.527618744	103.8000539	None	105.3485222	None	101.0435927	None	101.5375383	None	0.3	0.7	1	105.356731	None	105.8561838	None	105.356731	None	105.356731	None	2	3	18	M	2021_Aug_01_2005	Social Reinforcement Learning	2021.1.4	59.84018988"
"12	0	12	0							Private	PL	Private	images/Private_trial.png	0.5	13	107.8675387	None	108.8813172	110.1438474	109.6309692	110.1438474	d	0.349847822	110.1272398	None	None	None	107.3863799	None	107.8675387	None	0.3	0.7	1	110.5092512	None	110.9940061	112.5028128	110.5092512	None	110.5092512	None	2	3	18	M	2021_Aug_01_2005	Social Reinforcement Learning	2021.1.4	59.84018988"
"13	0	13	0							Private	PL	Private	images/Private_trial.png	0.5	14	113.027484	None	114.0244369	115.2731229	114.7749307	115.2731229	d	0.644067047	115.2731229	None	115.9394716	None	112.5312995	None	113.027484	None	0.3	0.7	1	115.9575787	None	116.4383657	117.95159	115.9575787	None	115.9575787	None	2	3	18	M	2021_Aug_01_2005	Social Reinforcement Learning	2021.1.4	59.84018988"
"14	0	14	0							Private	PL	Private	images/Private_trial.png	0.5	15	118.4705292	None	119.4710511	120.7283585	120.2208065	120.7283585	d	0.986051172	120.7117881	None	121.7168245	None	117.9727214	None	118.4705292	None	0.3	0.7	1	121.7278501	None	122.216099	None	121.7278501	None	121.7278501	None	2	3	18	M	2021_Aug_01_2005	Social Reinforcement Learning	2021.1.4	59.84018988"
"15	0	15	0							Private	PL	Private	images/Private_trial.png	0.5	16	124.2150679	None	125.2146961	126.4794382	125.9666987	126.4794382	d	0.942995798	126.4794382	None	127.445025	None	123.731538	None	124.2150679	None	0.3	0.7	-1	127.466272	None	127.9465355	129.4517638	127.466272	None	127.466272	None	2	3	18	M	2021_Aug_01_2005	Social Reinforcement Learning	2021.1.4	59.84018988"
"16	0	16	0							Private	PL	Private	images/Private_trial.png	0.5	17	129.9615795	None	130.9578343	132.2242606	131.7074531	132.2069407	a	0.952828482	132.2069407	None	133.1894238	None	129.4786438	None	129.9615795	None	0.3	0.7	-1	133.199952	None	133.6914582	None	133.199952	None	133.199952	None	2	3	18	M	2021_Aug_01_2005	Social Reinforcement Learning	2021.1.4	59.84018988"
"17	0	17	0							Private	PL	Private	images/Private_trial.png	0.5	18	135.6893036	None	136.6858709	137.9348481	137.4351846	137.9348481	d	0.825174262	137.9348481	None	138.7843361	None	135.2038742	None	135.6893036	None	0.3	0.7	-1	138.7984685	None	139.2674558	140.766267	138.7984685	None	138.7984685	None	2	3	18	M	2021_Aug_01_2005	Social Reinforcement Learning	2021.1.4	59.84018988"
"18	0	18	0							Private	PL	Private	images/Private_trial.png	0.5	19	141.2984977	None	142.301657	143.5631589	143.0468942	143.5465548	d	3.297261987	143.5465548	None	146.8599864	None	140.8045339	None	141.2984977	None	0.3	0.7	1	146.8780872	None	147.3592163	148.8745771	146.8780872	None	146.8780872	None	2	3	18	M	2021_Aug_01_2005	Social Reinforcement Learning	2021.1.4	59.84018988"
"19	0	19	0							Private	PL	Private	images/Private_trial.png	0.5	20	149.3746233	None	150.3733315	151.636809	151.1226148	151.636809	d	0.929772697	151.636809	None	152.5891347	None	148.8914695	None	149.3746233	None	0.3	0.7	-1	152.613127	None	153.1151659	None	152.613127	None	152.613127	None	2	3	18	M	2021_Aug_01_2005	Social Reinforcement Learning	2021.1.4	59.84018988"
"20	0	20	0							Social	SD	Private	images/Private_trial.png	0.5	21	155.1198648	None	156.1179507	157.3862622	156.8672744	157.3862622	a	1.68779442	157.3665806	None	159.0818328	None	154.6276056	None	155.1198648	None	0.3	0.7	1	159.0897422	None	159.5812716	161.0800596	159.0897422	None	159.0897422	None	2	3	18	M	2021_Aug_01_2005	Social Reinforcement Learning	2021.1.4	59.84018988"
"21	0	21	0							Social	SD	Private	images/Private_trial.png	0.5	22	161.6110087	None	162.5972732	163.8629832	163.3442601	163.8456712	a	2.00591802	163.8456712	None	165.8768022	None	161.0988159	None	161.6110087	None	0.3	0.7	1	165.9012623	None	166.3791183	167.8900998	165.9012623	None	165.9012623	None	2	3	18	M	2021_Aug_01_2005	Social Reinforcement Learning	2021.1.4	59.84018988"
"22	0	22	0							Social	SD	Private	images/Private_trial.png	0.5	23	168.3905115	None	169.3887313	170.63778	170.154499	170.654533	a	1.975071625	170.654533	None	172.6528629	None	167.9072566	None	168.3905115	None	0.3	0.7	1	172.6683143	None	173.152024	174.6671513	172.6683143	None	172.6683143	None	2	3	18	M	2021_Aug_01_2005	Social Reinforcement Learning	2021.1.4	59.84018988"
"23	0	23	0							Social	SD	Observational	images/Observational_trial.png	-0.5	24	175.1838173	None	176.1838991	177.4478041	176.9315627	177.4311617	None		179.196164	None	177.9309492	178.948853	174.6948103	None	175.1838173	None	0.3	0.7	?	179.2139459	None	179.6994234	None	179.2139459	None	179.2139459	None	2	3	18	M	2021_Aug_01_2005	Social Reinforcement Learning	2021.1.4	59.84018988"
"24	0	24	0							Social	SD	Private	images/Private_trial.png	0.5	25	181.7220379	None	182.7113982	183.9749733	183.4586398	183.9585	a	3.383460438	183.9585	None	187.3719801	None	181.2208081	None	181.7220379	None	0.3	0.7	1	187.3829887	None	187.8717157	None	187.3829887	None	187.3829887	None	2	3	18	M	2021_Aug_01_2005	Social Reinforcement Learning	2021.1.4	59.84018988"
"25	0	25	0							Social	SD	Private	images/Private_trial.png	0.5	26	189.8698743	None	190.8699331	192.1171634	191.6184046	192.1171634	a	0.976126044	192.1171634	None	193.117252	None	189.3871159	None	189.8698743	None	0.3	0.7	-1	193.1675021	None	193.6583138	None	193.1675021	None	193.1675021	None	2	3	18	M	2021_Aug_01_2005	Social Reinforcement Learning	2021.1.4	59.84018988"
"26	0	26	0							Social	SD	Observational	images/Observational_trial.png	-0.5	27	195.7036751	None	196.6967023	197.951799	197.4413488	197.951799	None		199.7103431	None	198.4448218	199.4605567	195.2086679	None	195.7036751	None	0.3	0.7	?	199.7225634	None	200.2125557	201.711391	199.7225634	None	199.7225634	None	2	3	18	M	2021_Aug_01_2005	Social Reinforcement Learning	2021.1.4	59.84018988"
"27	0	27	0							Social	SD	Observational	images/Observational_trial.png	-0.5	28	202.2258254	None	203.2239346	204.4891113	203.9754793	204.4891113	None		206.2380326	None	204.9742471	205.9717563	201.7292364	None	202.2258254	None	0.3	0.7	?	206.2517158	None	206.73733	None	206.2517158	None	206.2517158	None	2	3	18	M	2021_Aug_01_2005	Social Reinforcement Learning	2021.1.4	59.84018988"
"28	0	28	0							Social	SD	Private	images/Private_trial.png	0.5	29	208.7561203	None	209.7532585	211.01523	210.500589	211.01523	d	0.84500832	211.01523	None	211.8821443	None	208.2639334	None	208.7561203	None	0.3	0.7	1	211.8979288	None	212.3818853	None	211.8979288	None	211.8979288	None	2	3	18	M	2021_Aug_01_2005	Social Reinforcement Learning	2021.1.4	59.84018988"
"29	0	29	0							Social	SD	Observational	images/Observational_trial.png	-0.5	30	214.3982543	None	215.3991483	216.6610314	216.145385	216.6444005	None		218.409462	None	217.1451274	218.1600145	213.9019655	None	214.3982543	None	0.3	0.7	?	218.4195892	None	218.9090343	None	218.4195892	None	218.4195892	None	2	3	18	M	2021_Aug_01_2005	Social Reinforcement Learning	2021.1.4	59.84018988"
"30	0	30	0							Social	SD	Private	images/Private_trial.png	0.5	31	220.9259528	None	221.9230736	223.1884834	222.6721476	223.1719347	d	2.11282875	223.1719347	None	225.3035962	None	220.4293164	None	220.9259528	None	0.3	0.7	1	225.330363	None	225.820716	None	225.330363	None	225.330363	None	2	3	18	M	2021_Aug_01_2005	Social Reinforcement Learning	2021.1.4	59.84018988"
"31	0	31	0							Social	SD	Observational	images/Observational_trial.png	-0.5	32	227.8514581	None	228.8496384	230.1152248	229.605353	230.1152248	None		231.8803143	None	230.6072347	231.6137101	227.3606725	None	227.8514581	None	0.3	0.7	?	231.9039693	None	232.390278	None	231.9039693	None	231.9039693	None	2	3	18	M	2021_Aug_01_2005	Social Reinforcement Learning	2021.1.4	59.84018988"
"32	0	32	0							Social	SD	Private	images/Private_trial.png	0.5	33	234.4140125	None	235.4128696	236.6756878	236.1655185	236.6756878	d	1.061029878	236.65906	None	237.7413041	None	233.9152992	None	234.4140125	None	0.3	0.7	-1	237.7527295	None	238.2246477	239.739197	237.7527295	None	237.7527295	None	2	3	18	M	2021_Aug_01_2005	Social Reinforcement Learning	2021.1.4	59.84018988"
"33	0	33	0							Social	SD	Private	images/Private_trial.png	0.5	34	240.24018	None	241.2394926	242.5156326	242.0023186	242.5156326	a	0.880026959	242.4870096	None	243.3862264	None	239.7559978	None	240.24018	None	0.3	0.7	1	243.3953099	None	243.8857482	None	243.3953099	None	243.3953099	None	2	3	18	M	2021_Aug_01_2005	Social Reinforcement Learning	2021.1.4	59.84018988"
"34	0	34	0							Social	SD	Private	images/Private_trial.png	0.5	35	245.8843308	None	246.8828323	248.1318186	247.6497729	248.1652246	a	1.047283321	248.1318186	None	249.2008636	None	245.4008882	None	245.8843308	None	0.3	0.7	1	249.2247319	None	249.697492	251.2125545	249.2247319	None	249.2247319	None	2	3	18	M	2021_Aug_01_2005	Social Reinforcement Learning	2021.1.4	59.84018988"
"35	0	35	0							Social	SD	Observational	images/Observational_trial.png	-0.5	36	251.7285102	None	252.741934	253.9931899	253.4765914	253.9768103	None		255.7442449	None	254.4958246	255.5082264	251.23499	None	251.7285102	None	0.3	0.7	?	255.7908695	None	256.279515	None	255.7908695	None	255.7908695	None	2	3	18	M	2021_Aug_01_2005	Social Reinforcement Learning	2021.1.4	59.84018988"
"36	0	36	0							Social	SD	Observational	images/Observational_trial.png	-0.5	37	258.2890728	None	259.2879239	260.5523172	260.0433236	260.5710297	None		262.3187069	None	261.0470641	262.0520896	257.7992128	None	258.2890728	None	0.3	0.7	?	262.323007	None	262.8266012	None	262.323007	None	262.323007	None	2	3	18	M	2021_Aug_01_2005	Social Reinforcement Learning	2021.1.4	59.84018988"
"37	0	37	0							Social	SD	Observational	images/Observational_trial.png	-0.5	38	264.8349007	None	265.8321862	267.0974253	266.5849848	267.0974253	None		268.8465516	None	267.5827278	268.5945785	264.3354044	None	264.8349007	None	0.3	0.7	?	268.8662808	None	269.3456017	270.860428	268.8662808	None	268.8662808	None	2	3	18	M	2021_Aug_01_2005	Social Reinforcement Learning	2021.1.4	59.84018988"
"38	0	38	0							Social	SD	Private	images/Private_trial.png	0.5	39	271.3968242	None	272.3939845	273.6584339	273.1415833	273.6415813	d	0.519793367	273.6415813	None	274.1905047	None	270.8983017	None	271.3968242	None	0.3	0.7	-1	274.2007836	None	274.7099167	None	274.2007836	None	274.2007836	None	2	3	18	M	2021_Aug_01_2005	Social Reinforcement Learning	2021.1.4	59.84018988"
"39	0	39	0							Social	SD	Private	images/Private_trial.png	0.5	40	276.6882227	None	277.6897926	278.9532682	278.4365306	278.9365678	a	0.601172858	278.9365678	None	279.5539351	None	276.2053889	None	276.6882227	None	0.3	0.7	-1	279.5792501	None	280.0619132	281.5668942	279.5792501	None	279.5792501	None	2	3	18	M	2021_Aug_01_2005	Social Reinforcement Learning	2021.1.4	59.84018988"
"40	0	40	0							Social	SD	Private	images/Private_trial.png	0.5	41	282.1001975	None	283.098774	284.3648846	283.8532153	284.3648846	d	0.852741647	284.3481013	None	285.220209	None	281.602072	None	282.1001975	None	0.3	0.7	1	285.2452004	None	285.729859	None	285.2452004	None	285.2452004	None	2	3	18	M	2021_Aug_01_2005	Social Reinforcement Learning	2021.1.4	59.84018988"
"41	0	41	0							Social	SD	Observational	images/Observational_trial.png	-0.5	42	287.7485588	None	288.7441784	290.0089995	289.5094676	290.0089995	None		291.7745038	None	290.5226734	291.5253918	287.2520527	None	287.7485588	None	0.3	0.7	?	291.7978566	None	292.2861616	None	291.7978566	None	291.7978566	None	2	3	18	M	2021_Aug_01_2005	Social Reinforcement Learning	2021.1.4	59.84018988"
"42	0	42	0							Social	SD	Observational	images/Observational_trial.png	-0.5	43	294.2723372	None	295.2728847	296.5364097	296.0201861	296.5197657	None		298.2847355	None	297.0192549	298.0191921	293.78904	None	294.2723372	None	0.3	0.7	?	298.2922317	None	298.7893746	None	298.2922317	None	298.2922317	None	2	3	18	M	2021_Aug_01_2005	Social Reinforcement Learning	2021.1.4	59.84018988"
"43	0	43	0							Social	SD	Private	images/Private_trial.png	0.5	44	300.8037343	None	301.798425	303.048655	302.5481378	303.048655	a	0.81197763	303.048655	None	303.8798067	None	300.301968	None	300.8037343	None	0.3	0.7	1	303.8911965	None	304.3861824	None	303.8911965	None	303.8911965	None	2	3	18	M	2021_Aug_01_2005	Social Reinforcement Learning	2021.1.4	59.84018988"
"44	0	44	0							Social	SD	Observational	images/Observational_trial.png	-0.5	45	306.4279495	None	307.4277575	308.6920046	308.1758181	308.6751805	None		310.4404466	None	309.1767576	310.1909403	305.9356326	None	306.4279495	None	0.3	0.7	?	310.4763674	None	310.973619	None	310.4763674	None	310.4763674	None	2	3	18	M	2021_Aug_01_2005	Social Reinforcement Learning	2021.1.4	59.84018988"
