trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,textbox.started,textbox.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,block_type,learning_type,trial_type,image_path,x_image,trial,person.started,person.stopped,text.started,text.stopped,text_2.started,text_2.stopped,key_resp.keys,key_resp.started,key_resp.stopped,text_4.started,text_4.stopped,line.started,line.stopped,text_5.started,text_5.stopped,reward_a,reward_d,reward,image.started,image.stopped,text_3.started,text_3.stopped,line_2.started,line_2.stopped,text_6.started,text_6.stopped,key_resp.rt,session,exp_id,age,sex(M or F),date,expName,psychopyVersion,frameRate,
,,,,21.666473745019175,None,f,6.734792110772105,21.666473745019175,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,52,F,2021_Aug_01_1522,Social Reinforcement Learning,2021.1.4,61.026522562393666,
0,0,0,0,,,,,,,Social,UD,Observational,images/Observational_trial.png,-0.5,1,28.95244132154039,None,29.938019999593962,31.203361024527112,30.68719629655243,31.191030367597705,None,32.95192201329919,None,31.686306223185966,32.68519452033797,28.450742952496512,None,28.95244132154039,None,0.3,0.7,?,32.96944476489443,None,33.466113607020816,None,32.96944476489443,None,32.96944476489443,None,,1,2,52,F,2021_Aug_01_1522,Social Reinforcement Learning,2021.1.4,61.026522562393666,
1,0,1,0,,,,,,,Social,UD,Private,images/Private_trial.png,0.5,2,35.50261175102787,None,36.49819338414818,37.74718795286026,37.24778252028045,37.74718795286026,a,37.74718795286026,None,39.303074723508324,None,35.00154310988728,None,35.50261175102787,None,0.3,0.7,-1,39.34042244707234,None,39.83221662641154,None,39.34042244707234,None,39.34042244707234,None,1.5200169718300458,1,2,52,F,2021_Aug_01_1522,Social Reinforcement Learning,2021.1.4,61.026522562393666,
2,0,2,0,,,,,,,Social,UD,Observational,images/Observational_trial.png,-0.5,3,41.82725742046023,None,42.82546937247389,44.07488902725163,43.57483924951521,44.07488902725163,None,45.839977805464876,None,44.573949176148744,45.573044090444455,41.332593119936064,None,41.82725742046023,None,0.3,0.7,?,45.862647812231444,None,46.370598423236515,None,45.862647812231444,None,45.862647812231444,None,,1,2,52,F,2021_Aug_01_1522,Social Reinforcement Learning,2021.1.4,61.026522562393666,
3,0,3,0,,,,,,,Social,UD,Private,images/Private_trial.png,0.5,4,48.35459527539206,None,49.35312920247088,50.61845363481552,50.102552807860775,50.6018622405245,a,50.6018622405245,None,51.68431057043781,None,47.85751754467492,None,48.35459527539206,None,0.3,0.7,-1,51.70090334743145,None,52.18822898709914,None,51.70090334743145,None,51.70090334743145,None,1.0537880068877712,1,2,52,F,2021_Aug_01_1522,Social Reinforcement Learning,2021.1.4,61.026522562393666,
4,0,4,0,,,,,,,Social,UD,Private,images/Private_trial.png,0.5,5,54.19867322573555,None,55.19800833737827,56.467271927103866,55.930196598375915,56.429583463061135,a,56.429583463061135,None,60.76054952254926,None,53.699169422878185,None,54.19867322573555,None,0.3,0.7,-1,60.78227849301766,None,61.26001401679241,62.77601163377403,60.78227849301766,None,60.78227849301766,None,4.312534666649299,1,2,52,F,2021_Aug_01_1522,Social Reinforcement Learning,2021.1.4,61.026522562393666,
5,0,5,0,,,,,,,Social,UD,Observational,images/Observational_trial.png,-0.5,6,63.29052026430145,None,64.28917547521996,65.55454731493955,65.03863266084227,65.55454731493955,None,67.320506018374,None,66.05671501692268,67.07067293181899,62.81179748204886,None,63.29052026430145,None,0.3,0.7,?,67.35879201281932,None,67.83567104343092,None,67.35879201281932,None,67.35879201281932,None,,1,2,52,F,2021_Aug_01_1522,Social Reinforcement Learning,2021.1.4,61.026522562393666,
6,0,6,0,,,,,,,Social,UD,Private,images/Private_trial.png,0.5,7,69.85240703020827,None,70.8495542917226,72.11501027952181,71.6135212930385,72.11501027952181,a,72.09838214449701,None,73.42933951262094,None,69.35451270756312,None,69.85240703020827,None,0.3,0.7,1,73.4588120819244,None,73.96146017860156,None,73.4588120819244,None,73.4588120819244,None,1.3019995638460387,1,2,52,F,2021_Aug_01_1522,Social Reinforcement Learning,2021.1.4,61.026522562393666,
7,0,7,0,,,,,,,Social,UD,Private,images/Private_trial.png,0.5,8,75.94457643886562,None,76.92723126738565,78.19269673663075,77.67671294679167,78.19269673663075,d,78.19269673663075,None,79.61039773993835,None,75.44556409239885,None,75.94457643886562,None,0.3,0.7,-1,79.63369036352378,None,80.10779369261581,81.60652673066943,79.63369036352378,None,79.63369036352378,None,1.3954564776504412,1,2,52,F,2021_Aug_01_1522,Social Reinforcement Learning,2021.1.4,61.026522562393666,
8,0,8,0,,,,,,,Social,UD,Observational,images/Observational_trial.png,-0.5,9,82.13957598849083,None,83.13960561811109,84.40360777988099,83.88769391589449,84.38698399055284,None,86.15187839851424,None,84.88691920047859,85.90231829939876,81.64361114578787,None,82.13957598849083,None,0.3,0.7,?,86.16279256273992,None,86.6542785941565,None,86.16279256273992,None,86.16279256273992,None,,1,2,52,F,2021_Aug_01_1522,Social Reinforcement Learning,2021.1.4,61.026522562393666,
