trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,textbox.started,textbox.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,block_type,learning_type,trial_type,image_path,x_image,trial,person.started,person.stopped,text.started,text.stopped,text_2.started,text_2.stopped,key_resp.keys,key_resp.started,key_resp.stopped,text_4.started,text_4.stopped,line.started,line.stopped,text_5.started,text_5.stopped,reward_a,reward_d,reward,image.started,image.stopped,text_3.started,text_3.stopped,line_2.started,line_2.stopped,text_6.started,text_6.stopped,key_resp.rt,session,exp_id,age,sex(M or F),date,expName,psychopyVersion,frameRate,
14,0,14,0,,,,,,,Social,SD,Private,images/Private_trial.png,0.5,15,105.16600638578802,None,106.16524510063437,107.43085934753071,106.91491502603867,107.41416203719427,a,107.41416203719427,None,112.90925050350693,None,104.68368463594607,None,105.16600638578802,None,0.7,0.30000000000000004,1,112.9211190852252,None,113.40878168301333,None,112.9211190852252,None,112.9211190852252,None,5.465496439303024,2,1,23,M,2021_Aug_02_1239,Social Reinforcement Learning,2021.1.4,59.958263061158995,
15,0,15,0,,,,,,,Social,SD,Observational,images/Observational_trial.png,-0.5,16,115.42424007781165,None,116.4223196797152,117.67107345552358,117.17182407399378,117.67107345552358,None,119.43688472001536,None,118.17083878848598,119.18616404727163,114.92625489581042,None,115.42424007781165,None,0.7,0.30000000000000004,?,119.44465334463757,None,119.93605244215723,None,119.44465334463757,None,119.44465334463757,None,,2,1,23,M,2021_Aug_02_1239,Social Reinforcement Learning,2021.1.4,59.958263061158995,
16,0,16,0,,,,,,,Social,SD,Observational,images/Observational_trial.png,-0.5,17,121.9338942165241,None,122.93327554887992,124.19831102942999,123.6824445352213,124.18169668218752,None,125.94693313095608,None,124.68413145146724,125.69708712626107,121.45103557694529,None,121.9338942165241,None,0.7,0.30000000000000004,?,125.94992505667187,None,126.43964750956638,127.9453328518839,125.94992505667187,None,125.94992505667187,None,,2,1,23,M,2021_Aug_02_1239,Social Reinforcement Learning,2021.1.4,59.958263061158995,
17,0,17,0,,,,,,,Social,SD,Observational,images/Observational_trial.png,-0.5,18,128.44460751740462,None,129.44389838048164,130.70937356542981,130.1930191692154,130.69267941559247,None,132.45760929597515,None,131.1922179827643,132.20770284674018,127.96158571707383,None,128.44460751740462,None,0.7,0.30000000000000004,?,132.46610404520152,None,132.9569141047532,None,132.46610404520152,None,132.46610404520152,None,,2,1,23,M,2021_Aug_02_1239,Social Reinforcement Learning,2021.1.4,59.958263061158995,
18,0,18,0,,,,,,,Social,SD,Observational,images/Observational_trial.png,-0.5,19,134.95564990522462,None,135.9543066932256,137.20307311102943,136.70374629727803,137.20307311102943,None,138.9680563248299,None,137.70245404832258,138.70170896072523,134.4768382843863,None,134.95564990522462,None,0.7,0.30000000000000004,?,138.97172617754268,None,139.4532483211824,140.96657100890252,138.97172617754268,None,138.97172617754268,None,,2,1,23,M,2021_Aug_02_1239,Social Reinforcement Learning,2021.1.4,59.958263061158995,
19,0,19,0,,,,,,,Social,SD,Observational,images/Observational_trial.png,-0.5,20,141.48246278710167,None,142.48105952562491,143.73052243835673,143.23048688274457,143.73052243835673,None,145.49500155259517,None,144.22957823933348,145.24538942481286,140.98437291357686,None,141.48246278710167,None,0.7,0.30000000000000004,?,145.49746211944648,None,145.97816924945255,147.4939251262026,145.49746211944648,None,145.49746211944648,None,,2,1,23,M,2021_Aug_02_1239,Social Reinforcement Learning,2021.1.4,59.958263061158995,
20,0,20,0,,,,,,,Social,SD,Observational,images/Observational_trial.png,-0.5,21,147.9931875447901,None,148.99208887638724,150.25798203730483,149.74138467774355,150.24105045499346,None,152.00589539697063,None,150.74051277513126,151.7393279831358,147.5103853991277,None,147.9931875447901,None,0.7,0.30000000000000004,?,152.01062638716257,None,152.50535309487896,None,152.01062638716257,None,152.01062638716257,None,,2,1,23,M,2021_Aug_02_1239,Social Reinforcement Learning,2021.1.4,59.958263061158995,
21,0,21,0,,,,,,,Social,SD,Observational,images/Observational_trial.png,-0.5,22,154.50734144370017,None,155.50261689302442,156.75154528639268,156.2519597068008,156.75154528639268,None,158.51639536418048,None,157.25555832977125,158.26667893993726,154.02070166234353,None,154.50734144370017,None,0.7,0.30000000000000004,?,158.52090669970448,None,159.0160885192513,None,158.52090669970448,None,158.52090669970448,None,,2,1,23,M,2021_Aug_02_1239,Social Reinforcement Learning,2021.1.4,59.958263061158995,
22,0,22,0,,,,,,,Social,SD,Private,images/Private_trial.png,0.5,23,161.0480909401931,None,162.04677064181033,163.31201985109328,162.79571286236114,163.2955939485928,a,163.2955939485928,None,None,None,160.54656086370142,None,161.0480909401931,None,0.7,0.30000000000000004,1,163.67404946022634,None,164.16123679800376,None,163.67404946022634,None,163.67404946022634,None,0.3428019244274765,2,1,23,M,2021_Aug_02_1239,Social Reinforcement Learning,2021.1.4,59.958263061158995,
23,0,23,0,,,,,,,Social,SD,Private,images/Private_trial.png,0.5,24,166.16156153925795,None,167.158421978741,168.42379760797667,167.90777111351508,168.42379760797667,a,168.42379760797667,None,169.32757649789897,None,165.67672166198008,None,166.16156153925795,None,0.7,0.30000000000000004,-1,169.33613524722614,None,169.8225818430924,None,169.33613524722614,None,169.33613524722614,None,0.8847693981542761,2,1,23,M,2021_Aug_02_1239,Social Reinforcement Learning,2021.1.4,59.958263061158995,
24,0,24,0,,,,,,,Social,SD,Observational,images/Observational_trial.png,-0.5,25,171.8376289779817,None,172.83628063017204,174.08532951755797,173.5858363825564,174.08532951755797,None,175.85061929974432,None,174.58551282648932,175.60067452946123,171.34322780164393,None,171.8376289779817,None,0.7,0.30000000000000004,?,175.87791743670914,None,176.36666369053046,None,175.87791743670914,None,175.87791743670914,None,,2,1,23,M,2021_Aug_02_1239,Social Reinforcement Learning,2021.1.4,59.958263061158995,
25,0,25,0,,,,,,,Social,SD,Private,images/Private_trial.png,0.5,26,178.3657021087638,None,179.38037986035351,180.62954766150733,180.12978390879425,180.62954766150733,a,180.62954766150733,None,None,None,177.88391566840983,None,178.3657021087638,None,0.7,0.30000000000000004,1,180.8726737741017,None,181.36184313970261,182.86071326137426,180.8726737741017,None,180.8726737741017,None,0.21280112640170046,2,1,23,M,2021_Aug_02_1239,Social Reinforcement Learning,2021.1.4,59.958263061158995,
26,0,26,0,,,,,,,Social,SD,Observational,images/Observational_trial.png,-0.5,27,183.37722647265446,None,184.37584651985617,185.64147459393507,185.14162985344,185.64147459393507,None,187.4062405234418,None,186.14100565492254,187.1566027166068,182.88438144692373,None,183.37722647265446,None,0.7,0.30000000000000004,?,187.41689191805153,None,187.90577723382103,None,187.41689191805153,None,187.41689191805153,None,,2,1,23,M,2021_Aug_02_1239,Social Reinforcement Learning,2021.1.4,59.958263061158995,
27,0,27,0,,,,,,,Social,SD,Private,images/Private_trial.png,0.5,28,189.9209393318547,None,190.91957794698737,192.18504641587606,191.66877814325426,192.1685189823511,a,192.1685189823511,None,192.91790869002858,None,189.42850793640764,None,189.9209393318547,None,0.7,0.30000000000000004,1,192.92775613275035,None,193.4176737464477,None,192.92775613275035,None,192.92775613275035,None,0.7226105246190855,2,1,23,M,2021_Aug_02_1239,Social Reinforcement Learning,2021.1.4,59.958263061158995,
