"trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	textbox.started	textbox.stopped	key_resp_2.keys	key_resp_2.rt	key_resp_2.started	key_resp_2.stopped	block_type	learning_type	trial_type	image_path	x_image	trial	person.started	person.stopped	text.started	text.stopped	text_2.started	text_2.stopped	key_resp.keys	key_resp.rt	key_resp.started	key_resp.stopped	text_4.started	text_4.stopped	line.started	line.stopped	text_5.started	text_5.stopped	reward_a	reward_d	reward	image.started	image.stopped	text_3.started	text_3.stopped	line_2.started	line_2.stopped	text_6.started	text_6.stopped	session	exp_id	age	sex(M or F)	date	expName	psychopyVersion	frameRate"
"14	0	14	0							Private	PL	Private	images/Private_trial.png	0.5	15	119.0356934	None	120.0362982	121.3000322	120.7840792	121.3000322	a	0.804903265	121.3000322	None	122.13708	None	118.5389487	None	119.0356934	None	0.7	0.3	-1	122.1689591	None	122.6665472	None	122.1689591	None	122.1689591	None	1	3	18	M	2021_Aug_01_1544	Social Reinforcement Learning	2021.1.4	60.29259602"
"15	0	15	0							Private	PL	Private	images/Private_trial.png	0.5	16	124.6647702	None	125.6630987	126.9120163	126.4120419	126.9120163	a	0.917392263	126.9120163	None	127.8612789	None	124.1805502	None	124.6647702	None	0.7	0.3	1	127.9049301	None	128.3912321	None	127.9049301	None	127.9049301	None	1	3	18	M	2021_Aug_01_1544	Social Reinforcement Learning	2021.1.4	60.29259602"
"16	0	16	0							Private	PL	Private	images/Private_trial.png	0.5	17	130.391782	None	131.3925208	132.6566134	132.1401958	132.6395673	a	0.637106855	132.6395673	None	133.2960835	None	129.8990432	None	130.391782	None	0.7	0.3	1	133.3140071	None	133.8048748	135.3037149	133.3140071	None	133.3140071	None	1	3	18	M	2021_Aug_01_1544	Social Reinforcement Learning	2021.1.4	60.29259602"
"17	0	17	0							Private	PL	Private	images/Private_trial.png	0.5	18	135.8038698	None	136.8191982	138.0866295	137.567881	138.068431	a	0.441272145	138.068431	None	None	None	135.3215274	None	135.8038698	None	0.7	0.3	1	138.5795302	None	139.0501104	140.5660799	138.5795302	None	138.5795302	None	1	3	18	M	2021_Aug_01_1544	Social Reinforcement Learning	2021.1.4	60.29259602"
"18	0	18	0							Private	PL	Private	images/Private_trial.png	0.5	19	141.0823881	None	142.0955606	143.3480167	142.8356307	143.3480167	a	1.026678892	143.3292027	None	144.3789907	None	140.5883231	None	141.0823881	None	0.7	0.3	1	144.3992155	None	144.8791369	146.3941216	144.3992155	None	144.3992155	None	1	3	18	M	2021_Aug_01_1544	Social Reinforcement Learning	2021.1.4	60.29259602"
"19	0	19	0							Private	PL	Private	images/Private_trial.png	0.5	20	146.9095602	None	147.909096	149.1737717	148.6579697	149.1574347	a	0.820664636	149.1574347	None	150.0069981	None	146.4207941	None	146.9095602	None	0.7	0.3	1	150.0425853	None	150.5252097	152.0382111	150.0425853	None	150.0425853	None	1	3	18	M	2021_Aug_01_1544	Social Reinforcement Learning	2021.1.4	60.29259602"
"20	0	20	0							Social	SD	Private	images/Private_trial.png	0.5	21	152.5376146	None	153.5370204	154.8028331	154.2860794	154.7855804	a	0.528566891	154.7855804	None	155.3358393	None	152.0550289	None	152.5376146	None	0.7	0.3	1	155.3611754	None	155.8348793	157.3497815	155.3611754	None	155.3611754	None	1	3	18	M	2021_Aug_01_1544	Social Reinforcement Learning	2021.1.4	60.29259602"
"21	0	21	0							Social	SD	Observational	images/Observational_trial.png	-0.5	22	157.9005065	None	158.8983396	160.1474721	159.6593579	160.1639319	None		161.9122134	None	160.649123	161.6626772	157.4031993	None	157.9005065	None	0.7	0.3	?	161.9253472	None	162.411874	None	161.9253472	None	161.9253472	None	1	3	18	M	2021_Aug_01_1544	Social Reinforcement Learning	2021.1.4	60.29259602"
"22	0	22	0							Social	SD	Private	images/Private_trial.png	0.5	23	164.4281387	None	165.4258932	166.6929922	166.1799762	166.6929922	d	1.573744929	166.6747724	None	168.2746538	None	163.938129	None	164.4281387	None	0.7	0.3	-1	168.2913527	None	168.7724743	None	168.2913527	None	168.2913527	None	1	3	18	M	2021_Aug_01_1544	Social Reinforcement Learning	2021.1.4	60.29259602"
"23	0	23	0							Social	SD	Private	images/Private_trial.png	0.5	24	170.7704938	None	171.7708217	173.0401272	172.5189681	173.0401272	d	0.849052564	173.0401272	None	173.9174282	None	170.2880827	None	170.7704938	None	0.7	0.3	1	173.9278969	None	174.4337648	None	173.9278969	None	173.9278969	None	1	3	18	M	2021_Aug_01_1544	Social Reinforcement Learning	2021.1.4	60.29259602"
"24	0	24	0							Social	SD	Observational	images/Observational_trial.png	-0.5	25	176.4345984	None	177.4310274	178.6972842	178.1823762	178.6972842	None		180.461395	None	179.2197821	180.2285889	175.9484907	None	176.4345984	None	0.7	0.3	?	180.474978	None	180.9539173	182.4595904	180.474978	None	180.474978	None	1	3	18	M	2021_Aug_01_1544	Social Reinforcement Learning	2021.1.4	60.29259602"
"25	0	25	0							Social	SD	Observational	images/Observational_trial.png	-0.5	26	182.9762378	None	183.9746738	185.2420845	184.7248962	185.2420845	None		186.999375	None	185.7264057	186.7377405	182.4783412	None	182.9762378	None	0.7	0.3	?	187.0242406	None	187.5051789	189.0037041	187.0242406	None	187.0242406	None	1	3	18	M	2021_Aug_01_1544	Social Reinforcement Learning	2021.1.4	60.29259602"
"26	0	26	0							Social	SD	Observational	images/Observational_trial.png	-0.5	27	189.5360249	None	190.5353299	191.7890597	191.2892355	191.8039563	None		193.5526913	None	192.2841866	193.2994629	189.0386872	None	189.5360249	None	0.7	0.3	?	193.5636156	195.5669048	194.0692235	None	193.5636156	195.5669048	193.5636156	195.5669048	1	3	18	M	2021_Aug_01_1544	Social Reinforcement Learning	2021.1.4	60.29259602"
"27	0	27	0							Social	SD	Observational	images/Observational_trial.png	-0.5	28	196.080679	None	197.0794389	198.3446524	197.8316205	198.3446524	None		200.0971266	None	198.8455345	199.8601115	195.5992074	None	196.080679	None	0.7	0.3	?	200.1138571	None	200.593607	202.108269	200.1138571	None	200.1138571	None	1	3	18	M	2021_Aug_01_1544	Social Reinforcement Learning	2021.1.4	60.29259602"
"28	0	28	0							Social	SD	Private	images/Private_trial.png	0.5	29	202.6556779	None	203.6607849	204.9223218	204.4039843	204.9054594	a	3.459879538	204.9054594	None	208.3861117	None	202.1618914	None	202.6556779	None	0.7	0.3	1	208.4132698	None	208.9015764	None	208.4132698	None	208.4132698	None	1	3	18	M	2021_Aug_01_1544	Social Reinforcement Learning	2021.1.4	60.29259602"
"29	0	29	0							Social	SD	Private	images/Private_trial.png	0.5	30	210.9002695	None	211.9157208	213.1810025	212.6477174	213.1477439	a	2.110675666	213.1642547	None	215.2977305	None	210.4171422	None	210.9002695	None	0.7	0.3	1	215.3113455	None	215.8121708	None	215.3113455	None	215.3113455	None	1	3	18	M	2021_Aug_01_1544	Social Reinforcement Learning	2021.1.4	60.29259602"
"30	0	30	0							Social	SD	Observational	images/Observational_trial.png	-0.5	31	217.8299577	None	218.840279	220.0909582	219.5711826	220.0742198	None		221.8394071	None	220.5919501	221.6066425	217.3377175	None	217.8299577	None	0.7	0.3	?	221.8666518	None	222.3389437	223.8523324	221.8666518	None	221.8666518	None	1	3	18	M	2021_Aug_01_1544	Social Reinforcement Learning	2021.1.4	60.29259602"
