trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,textbox.started,textbox.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,block_type,learning_type,trial_type,image_path,x_image,trial,person.started,person.stopped,text.started,text.stopped,text_2.started,text_2.stopped,key_resp.keys,key_resp.started,key_resp.stopped,text_4.started,text_4.stopped,line.started,line.stopped,text_5.started,text_5.stopped,reward_a,reward_d,reward,image.started,image.stopped,text_3.started,text_3.stopped,line_2.started,line_2.stopped,text_6.started,text_6.stopped,key_resp.rt,session,exp_id,age,sex(M or F),date,expName,psychopyVersion,frameRate,
,,,,23.405859801852785,None,f,0.419220415557902,23.405859801852785,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,23,M,2021_Aug_02_1331,Social Reinforcement Learning,2021.1.4,60.00488336799254,
0,0,0,0,,,,,,,Social,SD,Observational,images/Observational_trial.png,-0.5,1,24.36873144688434,None,25.367754852748476,26.616650851004124,26.1170625059749,26.616650851004124,None,28.381379684155036,None,27.115910899216942,28.115241663591405,23.88052089761277,None,24.36873144688434,None,0.3,0.7,?,28.399992335790557,None,28.886899969422302,None,28.399992335790557,None,28.399992335790557,None,,3,1,23,M,2021_Aug_02_1331,Social Reinforcement Learning,2021.1.4,60.00488336799254,
1,0,1,0,,,,,,,Social,SD,Private,images/Private_trial.png,0.5,2,30.898703642395958,None,31.894791339916992,33.14333099193027,32.64410175858029,33.14333099193027,d,33.14333099193027,None,33.910095581385576,None,30.405005677045665,None,30.898703642395958,None,0.3,0.7,1,33.933212338903104,None,34.42563267260448,None,33.933212338903104,None,33.933212338903104,None,0.741947246534437,3,1,23,M,2021_Aug_02_1331,Social Reinforcement Learning,2021.1.4,60.00488336799254,
2,0,2,0,,,,,,,Social,SD,Private,images/Private_trial.png,0.5,3,36.40693200107762,None,37.406206271535666,38.65509436854427,38.15583392526787,38.65509436854427,d,38.65509436854427,None,39.254381360009575,None,35.92432264584295,None,36.40693200107762,None,0.3,0.7,1,39.25823329696141,None,39.739550798301934,41.25251713978014,39.25823329696141,None,39.25823329696141,None,0.5841775157377924,3,1,23,M,2021_Aug_02_1331,Social Reinforcement Learning,2021.1.4,60.00488336799254,
3,0,3,0,,,,,,,Social,SD,Private,images/Private_trial.png,0.5,4,41.75376079606667,None,42.75464692092373,44.01666847078468,43.50073007522769,43.999788246578646,d,44.01666847078468,None,None,None,41.26969050025127,None,41.75376079606667,None,0.3,0.7,1,44.38784732894419,None,44.882908259410215,None,44.38784732894419,None,44.38784732894419,None,0.34196755273933377,3,1,23,M,2021_Aug_02_1331,Social Reinforcement Learning,2021.1.4,60.00488336799254,
4,0,4,0,,,,,,,Social,SD,Observational,images/Observational_trial.png,-0.5,5,46.9147692480301,None,47.91293497352672,49.17688363754405,48.66281467703993,49.17688363754405,None,50.9273475592654,None,49.66406425926198,50.67737114448755,46.41994416978832,None,46.9147692480301,None,0.3,0.7,?,50.93900118755755,None,51.42866201072502,None,50.93900118755755,None,50.93900118755755,None,,3,1,23,M,2021_Aug_02_1331,Social Reinforcement Learning,2021.1.4,60.00488336799254,
5,0,5,0,,,,,,,Social,SD,Private,images/Private_trial.png,0.5,6,53.441612549708225,None,54.44028276982954,55.689204447137854,55.19098341291192,55.70584407837032,d,55.689204447137854,None,57.03799662300662,None,52.952978493595765,None,53.441612549708225,None,0.3,0.7,-1,57.05273608333573,None,57.53777941772569,None,57.05273608333573,None,57.05273608333573,None,1.3206638153696986,3,1,23,M,2021_Aug_02_1331,Social Reinforcement Learning,2021.1.4,60.00488336799254,
6,0,6,0,,,,,,,Social,SD,Observational,images/Observational_trial.png,-0.5,7,59.552634157248576,None,60.5514947974234,61.800482845207625,61.30564038422199,61.81700119229845,None,63.56545543183074,None,62.30006170873912,63.29904995405377,59.0562055209175,None,59.552634157248576,None,0.3,0.7,?,63.57609493506334,None,64.06656958667736,None,63.57609493506334,None,63.57609493506334,None,,3,1,23,M,2021_Aug_02_1331,Social Reinforcement Learning,2021.1.4,60.00488336799254,
7,0,7,0,,,,,,,Social,SD,Private,images/Private_trial.png,0.5,8,66.07960743444164,None,67.07897849517576,68.34409496350781,67.82779785133516,68.32769908574664,d,68.32769908574664,None,None,None,65.58322383521772,None,66.07960743444164,None,0.3,0.7,1,68.51537622182877,None,69.01077058492137,None,68.51537622182877,None,68.51537622182877,None,0.1478540608068215,3,1,23,M,2021_Aug_02_1331,Social Reinforcement Learning,2021.1.4,60.00488336799254,
8,0,8,0,,,,,,,Social,SD,Observational,images/Observational_trial.png,-0.5,9,71.0081627783311,None,72.00714470264847,73.25628682474962,72.75713581374566,73.25628682474962,None,75.02148104135267,None,73.76434688686913,74.77152240438136,70.51457819587631,None,71.0081627783311,None,0.3,0.7,?,75.03249506369593,None,75.52116032973481,77.01959509269363,75.03249506369593,None,75.03249506369593,None,,3,1,23,M,2021_Aug_02_1331,Social Reinforcement Learning,2021.1.4,60.00488336799254,
9,0,9,0,,,,,,,Social,SD,Private,images/Private_trial.png,0.5,10,77.53590603204884,None,78.5346769930693,79.79999612838856,79.28396252280527,79.78357852219779,d,79.78357852219779,None,80.33343491703272,None,77.03899344433557,None,77.53590603204884,None,0.3,0.7,1,80.3448226683613,None,80.83253662425523,None,80.3448226683613,None,80.3448226683613,None,0.5305422704859666,3,1,23,M,2021_Aug_02_1331,Social Reinforcement Learning,2021.1.4,60.00488336799254,
10,0,10,0,,,,,,,Social,SD,Private,images/Private_trial.png,0.5,11,82.83814255903962,None,83.82943696503571,85.078536420403,84.57923291533098,85.078536420403,d,85.078536420403,None,None,None,82.34761062338475,None,82.83814255903962,None,0.3,0.7,-1,85.45388990244282,None,85.94462213471161,None,85.45388990244282,None,85.45388990244282,None,0.34921813209803076,3,1,23,M,2021_Aug_02_1331,Social Reinforcement Learning,2021.1.4,60.00488336799254,
