trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,textbox.started,textbox.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,block_type,learning_type,trial_type,image_path,x_image,trial,person.started,person.stopped,text.started,text.stopped,text_2.started,text_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_4.started,text_4.stopped,line.started,line.stopped,text_5.started,text_5.stopped,reward_a,reward_d,reward,image.started,image.stopped,text_3.started,text_3.stopped,line_2.started,line_2.stopped,text_6.started,text_6.stopped,session,exp_id,age,sex(M or F),date,expName,psychopyVersion,frameRate,
,,,,16.466907997089493,None,f,144.7943668849257,16.466907997089493,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,18,M,2021_Aug_02_1249,Social Reinforcement Learning,2021.1.4,59.44375819000326,
0,0,0,0,,,,,,,Social,UD,Private,images/Private_trial.png,0.5,1,161.7956156770224,None,162.79500135506396,164.06008029247278,163.54404273626506,164.04349359959497,a,0.8630828453651702,164.04349359959497,None,164.9263855429305,None,161.29755898873555,None,161.7956156770224,None,0.3,0.7,-1,164.94444949246372,None,165.4255366724533,None,164.94444949246372,None,164.94444949246372,None,3,3,18,M,2021_Aug_02_1249,Social Reinforcement Learning,2021.1.4,59.44375819000326,
1,0,1,0,,,,,,,Social,UD,Observational,images/Observational_trial.png,-0.5,2,167.4403530909285,None,168.43959378108684,169.70487854598105,169.18856365600186,169.68821086532125,None,,171.4534232152861,None,170.18774311149537,171.18709560429943,166.9490582898702,None,167.4403530909285,None,0.3,0.7,?,171.46467945035783,None,171.95274935743146,None,171.46467945035783,None,171.46467945035783,None,3,3,18,M,2021_Aug_02_1249,Social Reinforcement Learning,2021.1.4,59.44375819000326,
2,0,2,0,,,,,,,Social,UD,Observational,images/Observational_trial.png,-0.5,3,173.9510379473195,None,174.9560102020905,176.24174853017075,175.72907690520833,176.2680636334835,None,,177.96676289068742,None,176.73240570059215,177.73137142735277,173.46812952988375,None,173.9510379473195,None,0.3,0.7,?,177.975809146958,None,178.4648149567447,None,177.975809146958,None,177.975809146958,None,3,3,18,M,2021_Aug_02_1249,Social Reinforcement Learning,2021.1.4,59.44375819000326,
3,0,3,0,,,,,,,Social,UD,Observational,images/Observational_trial.png,-0.5,4,180.47813843458925,None,181.51047626346872,182.7594986816771,182.2282855953158,182.74502043657594,None,,184.49192559711733,None,183.2276716684196,184.264376911608,179.99329500175054,None,180.47813843458925,None,0.3,0.7,?,184.50675991191702,None,185.0086317173441,None,184.50675991191702,None,184.50675991191702,None,3,3,18,M,2021_Aug_02_1249,Social Reinforcement Learning,2021.1.4,59.44375819000326,
4,0,4,0,,,,,,,Social,UD,Private,images/Private_trial.png,0.5,5,187.00572563867763,None,188.00496869921017,189.26998521676705,188.75736534497264,189.26998521676705,a,0.6193277935053629,189.25360040075157,None,189.88874479209076,None,186.51661592749224,None,187.00572563867763,None,0.3,0.7,-1,189.9090029179306,None,190.4026246362464,None,189.9090029179306,None,189.9090029179306,None,3,3,18,M,2021_Aug_02_1249,Social Reinforcement Learning,2021.1.4,59.44375819000326,
5,0,5,0,,,,,,,Social,UD,Private,images/Private_trial.png,0.5,6,192.41666475719876,None,193.4160326574347,194.68160305241008,194.1654829281706,194.66495235943103,a,0.48288194825772734,194.66495235943103,None,195.16461327741368,None,191.93204690496304,None,192.41666475719876,None,0.3,0.7,-1,195.1679101912655,None,195.66396233317528,None,195.1679101912655,None,195.1679101912655,None,3,3,18,M,2021_Aug_02_1249,Social Reinforcement Learning,2021.1.4,59.44375819000326,
6,0,6,0,,,,,,,Social,UD,Private,images/Private_trial.png,0.5,7,197.66237497264228,None,198.66122060044745,199.92674358794056,199.4106179328287,199.910100796209,a,0.5537284799661393,199.910100796209,None,200.49292470980723,None,197.17927613515258,None,197.66237497264228,None,0.3,0.7,-1,200.49708009415144,None,200.9925688771459,None,200.49708009415144,None,200.49708009415144,None,3,3,18,M,2021_Aug_02_1249,Social Reinforcement Learning,2021.1.4,59.44375819000326,
7,0,7,0,,,,,,,Social,UD,Private,images/Private_trial.png,0.5,8,202.99020403390296,None,203.9896418601752,205.25495585968338,204.73907988397832,205.2384900558859,a,0.7682516831632711,205.2384900558859,None,206.0377943115765,None,202.5076559133331,None,202.99020403390296,None,0.3,0.7,-1,206.0419461403594,None,206.53713309571685,None,206.0419461403594,None,206.0419461403594,None,3,3,18,M,2021_Aug_02_1249,Social Reinforcement Learning,2021.1.4,59.44375819000326,
8,0,8,0,,,,,,,Social,UD,Private,images/Private_trial.png,0.5,9,208.53545329059307,None,209.53447946189362,210.78314316348587,210.28374681876085,210.78314316348587,d,0.42563701829067213,210.78314316348587,None,None,None,208.052584379393,None,208.53545329059307,None,0.3,0.7,1,211.24679979741222,None,211.73258940458572,None,211.24679979741222,None,211.24679979741222,None,3,3,18,M,2021_Aug_02_1249,Social Reinforcement Learning,2021.1.4,59.44375819000326,
