"trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	textbox.started	textbox.stopped	key_resp_2.keys	key_resp_2.rt	key_resp_2.started	key_resp_2.stopped	block_type	learning_type	trial_type	image_path	x_image	trial	person.started	person.stopped	text.started	text.stopped	text_2.started	text_2.stopped	key_resp.keys	key_resp.rt	key_resp.started	key_resp.stopped	text_4.started	text_4.stopped	line.started	line.stopped	text_5.started	text_5.stopped	reward_a	reward_d	reward	image.started	image.stopped	text_3.started	text_3.stopped	line_2.started	line_2.stopped	text_6.started	text_6.stopped	session	exp_id	age	sex(M or F)	date	expName	psychopyVersion	frameRate"
"				21.09539825	None	f	2.790322339	21.09539825	None																																		2	2	52	F	2021_Aug_01_2023	Social Reinforcement Learning	2021.1.4	60.14075003"
"0	0	0	0							Social	UD	Private	images/Private_trial.png	0.5	1	24.48234352	None	25.47797019	26.74348109	26.24927783	26.76001007	d	0.396811933	26.74348109	None	None	None	23.98911527	None	24.48234352	None	0.7	0.3	-1	27.20103056	None	27.6957794	None	27.20103056	None	27.20103056	None	2	2	52	F	2021_Aug_01_2023	Social Reinforcement Learning	2021.1.4	60.14075003"
"1	0	1	0							Social	UD	Private	images/Private_trial.png	0.5	2	29.67557556	None	30.67288283	31.92205201	31.42282554	31.92205201	d	1.177709687	31.92205201	None	33.12092115	None	29.18676015	None	29.67557556	None	0.7	0.3	-1	33.14072325	None	33.62014252	35.13419012	33.14072325	None	33.14072325	None	2	2	52	F	2021_Aug_01_2023	Social Reinforcement Learning	2021.1.4	60.14075003"
"2	0	2	0							Social	UD	Private	images/Private_trial.png	0.5	3	35.65146299	None	36.65374803	37.91614545	37.39996729	37.89932808	a	0.96800121	37.89932808	None	38.89860705	None	35.15851523	None	35.65146299	None	0.7	0.3	1	38.90642812	None	39.39793825	40.90934012	38.90642812	None	38.90642812	None	2	2	52	F	2021_Aug_01_2023	Social Reinforcement Learning	2021.1.4	60.14075003"
"3	0	3	0							Social	UD	Private	images/Private_trial.png	0.5	4	41.43000262	None	42.42928756	43.69599313	43.18009388	43.69599313	a	0.543722632	43.69599313	None	44.26068479	None	40.95203678	None	41.43000262	None	0.7	0.3	-1	44.27993499	None	44.75986784	46.27472808	44.27993499	None	44.27993499	None	2	2	52	F	2021_Aug_01_2023	Social Reinforcement Learning	2021.1.4	60.14075003"
"4	0	4	0							Social	UD	Private	images/Private_trial.png	0.5	5	46.77491731	None	47.77517213	49.02324107	48.52282072	49.02324107	a	0.799955121	49.02324107	None	49.85621064	None	46.29140757	None	46.77491731	None	0.7	0.3	1	49.88883446	None	50.37193689	None	49.88883446	None	49.88883446	None	2	2	52	F	2021_Aug_01_2023	Social Reinforcement Learning	2021.1.4	60.14075003"
"5	0	5	0							Social	UD	Observational	images/Observational_trial.png	-0.5	6	52.40621163	None	53.40228867	54.66699602	54.15175376	54.66699602	None		56.41561287	None	55.15333953	56.17274021	51.90719889	None	52.40621163	None	0.7	0.3	?	56.43325279	None	56.91504362	None	56.43325279	None	56.43325279	None	2	2	52	F	2021_Aug_01_2023	Social Reinforcement Learning	2021.1.4	60.14075003"
"6	0	6	0							Social	UD	Private	images/Private_trial.png	0.5	7	58.93397457	None	59.92869813	61.19125397	60.67819087	61.19125397	d	1.919804508	61.17460687	None	63.10957459	None	58.4333563	None	58.93397457	None	0.7	0.3	-1	63.12989027	None	63.60986421	None	63.12989027	None	63.12989027	None	2	2	52	F	2021_Aug_01_2023	Social Reinforcement Learning	2021.1.4	60.14075003"
"7	0	7	0							Social	UD	Observational	images/Observational_trial.png	-0.5	8	65.64067149	None	66.64615969	67.90349361	67.39110922	67.90349361	None		69.65440221	None	68.39110014	69.40211919	65.1430549	None	65.64067149	None	0.7	0.3	?	69.6979874	None	70.18600953	None	69.6979874	None	69.6979874	None	2	2	52	F	2021_Aug_01_2023	Social Reinforcement Learning	2021.1.4	60.14075003"
"8	0	8	0							Social	UD	Private	images/Private_trial.png	0.5	9	72.20492073	None	73.18476746	74.4492591	73.93786395	74.4492591	d	0.690651504	74.43232558	None	75.14790187	None	71.68805793	None	72.20492073	None	0.7	0.3	-1	75.15919908	None	75.6475669	None	75.15919908	None	75.15919908	None	2	2	52	F	2021_Aug_01_2023	Social Reinforcement Learning	2021.1.4	60.14075003"
"9	0	9	0							Social	UD	Observational	images/Observational_trial.png	-0.5	10	77.6648611	None	78.66373952	79.92786337	79.4172856	79.92786337	None		81.67566718	None	80.41028274	81.42545112	77.16886505	None	77.6648611	None	0.7	0.3	?	81.70978788	None	82.19131679	None	81.70978788	None	81.70978788	None	2	2	52	F	2021_Aug_01_2023	Social Reinforcement Learning	2021.1.4	60.14075003"
"10	0	10	0							Social	UD	Private	images/Private_trial.png	0.5	11	84.18995501	None	85.18848183	86.43766642	85.93802316	86.43766642	a	0.594791036	86.43766642	None	87.0535375	None	83.69336439	None	84.18995501	None	0.7	0.3	-1	87.06451708	None	87.55324322	None	87.06451708	None	87.06451708	None	2	2	52	F	2021_Aug_01_2023	Social Reinforcement Learning	2021.1.4	60.14075003"
"11	0	11	0							Social	UD	Private	images/Private_trial.png	0.5	12	89.55256727	None	90.55023206	91.79910297	91.30032371	91.81552805	a	1.219469259	91.79910297	None	93.04853089	None	89.06865535	None	89.55256727	None	0.7	0.3	1	93.06869525	None	93.55747274	None	93.06869525	None	93.06869525	None	2	2	52	F	2021_Aug_01_2023	Social Reinforcement Learning	2021.1.4	60.14075003"
"12	0	12	0							Social	UD	Private	images/Private_trial.png	0.5	13	95.5623877	None	96.56255521	97.8269149	97.31042622	97.81023225	d	0.087437363	97.81023225	None	None	None	95.07173288	None	95.5623877	None	0.7	0.3	-1	97.93524114	None	98.42620411	99.92579719	97.93524114	None	97.93524114	None	2	2	52	F	2021_Aug_01_2023	Social Reinforcement Learning	2021.1.4	60.14075003"
"13	0	13	0							Social	UD	Private	images/Private_trial.png	0.5	14	100.4597223	None	101.4430238	102.7054272	102.1895335	102.6887576	d	1.398783685	102.6887576	None	104.1042859	None	99.9450679	None	100.4597223	None	0.7	0.3	-1	104.1088742	None	104.6125526	None	104.1088742	None	104.1088742	None	2	2	52	F	2021_Aug_01_2023	Social Reinforcement Learning	2021.1.4	60.14075003"
"14	0	14	0							Social	UD	Private	images/Private_trial.png	0.5	15	106.602428	None	107.601078	108.8664854	108.354681	108.8664854	a	1.366563661	108.8498648	None	110.2342915	None	106.1192572	None	106.602428	None	0.7	0.3	1	110.2667696	None	110.7482601	None	110.2667696	None	110.2667696	None	2	2	52	F	2021_Aug_01_2023	Social Reinforcement Learning	2021.1.4	60.14075003"
"15	0	15	0							Social	UD	Private	images/Private_trial.png	0.5	16	112.7571313	None	113.763916	115.0274651	114.515923	115.0274651	a	1.157157802	115.0104656	None	116.1927145	None	112.2656235	None	112.7571313	None	0.7	0.3	1	116.1971929	None	116.6925999	None	116.1971929	None	116.1971929	None	2	2	52	F	2021_Aug_01_2023	Social Reinforcement Learning	2021.1.4	60.14075003"
"16	0	16	0							Social	UD	Observational	images/Observational_trial.png	-0.5	17	118.7114385	None	119.7085466	120.9794631	120.4613207	120.9794631	None		122.736895	None	121.471477	122.4705375	118.2143398	None	118.7114385	None	0.7	0.3	?	122.749236	None	123.2365604	124.7503326	122.749236	None	122.749236	None	2	2	52	F	2021_Aug_01_2023	Social Reinforcement Learning	2021.1.4	60.14075003"
"17	0	17	0							Social	UD	Observational	images/Observational_trial.png	-0.5	18	125.2710236	None	126.266862	127.5159486	127.0162686	127.5159486	None		129.2809293	None	128.0155243	129.0294546	124.7725505	None	125.2710236	None	0.7	0.3	?	129.3027826	None	129.7815682	131.2957548	129.3027826	None	129.3027826	None	2	2	52	F	2021_Aug_01_2023	Social Reinforcement Learning	2021.1.4	60.14075003"
"18	0	18	0							Social	UD	Private	images/Private_trial.png	0.5	19	131.8134093	None	132.8108142	134.0600375	133.5654569	134.077116	a	1.092170594	134.0600375	None	135.1798679	None	131.3228782	None	131.8134093	None	0.7	0.3	1	135.198774	None	135.6915914	None	135.198774	None	135.198774	None	2	2	52	F	2021_Aug_01_2023	Social Reinforcement Learning	2021.1.4	60.14075003"
"19	0	19	0							Social	UD	Private	images/Private_trial.png	0.5	20	137.6894699	None	138.6888145	139.9540314	139.4379615	139.9376143	a	0.144327787	139.9376143	None	None	None	137.2069126	None	137.6894699	None	0.7	0.3	1	140.1087746	None	140.6040694	142.1027574	140.1087746	None	140.1087746	None	2	2	52	F	2021_Aug_01_2023	Social Reinforcement Learning	2021.1.4	60.14075003"
"20	0	20	0							Social	UD	Observational	images/Observational_trial.png	-0.5	21	142.6352414	None	143.6343738	144.8834067	144.3839768	144.8834067	None		146.6478786	None	145.3825945	146.3980232	142.1399703	None	142.6352414	None	0.7	0.3	?	146.6796285	None	147.1675779	None	146.6796285	None	146.6796285	None	2	2	52	F	2021_Aug_01_2023	Social Reinforcement Learning	2021.1.4	60.14075003"
"21	0	21	0							Social	UD	Observational	images/Observational_trial.png	-0.5	22	149.1795392	None	150.1777413	151.4432945	150.927428	151.4267078	None		153.1917181	None	151.9339592	152.944785	148.6810239	None	149.1795392	None	0.7	0.3	?	153.2095828	None	153.6954598	None	153.2095828	None	153.2095828	None	2	2	52	F	2021_Aug_01_2023	Social Reinforcement Learning	2021.1.4	60.14075003"
"22	0	22	0							Social	UD	Private	images/Private_trial.png	0.5	23	155.7064243	None	156.7068004	157.9705683	157.4547528	157.9542712	d	1.301218527	157.9542712	None	159.2864728	None	155.2211759	None	155.7064243	None	0.7	0.3	-1	159.3135006	None	159.8057918	None	159.3135006	None	159.3135006	None	2	2	52	F	2021_Aug_01_2023	Social Reinforcement Learning	2021.1.4	60.14075003"
"23	0	23	0							Social	UD	Observational	images/Observational_trial.png	-0.5	24	161.8190488	None	162.8328471	164.0983584	163.5819701	164.0815158	None		165.8467928	None	164.5872785	165.5946445	161.3324458	None	161.8190488	None	0.7	0.3	?	165.8605157	None	166.3459363	None	165.8605157	None	165.8605157	None	2	2	52	F	2021_Aug_01_2023	Social Reinforcement Learning	2021.1.4	60.14075003"
"24	0	24	0							Social	UD	Observational	images/Observational_trial.png	-0.5	25	168.3960179	None	169.394854	170.6645711	170.1425465	170.6645711	None		172.4101448	None	171.1431442	172.1577773	167.9039258	None	168.3960179	None	0.7	0.3	?	172.4543115	None	172.9232246	174.4385877	172.4543115	None	172.4543115	None	2	2	52	F	2021_Aug_01_2023	Social Reinforcement Learning	2021.1.4	60.14075003"
"25	0	25	0							Social	UD	Observational	images/Observational_trial.png	-0.5	26	174.95719	None	175.9537379	177.2030209	176.7203206	177.2197873	None		178.9848561	None	177.7190809	178.7345326	174.4634627	None	174.95719	None	0.7	0.3	?	178.9925148	None	179.484096	None	178.9925148	None	178.9925148	None	2	2	52	F	2021_Aug_01_2023	Social Reinforcement Learning	2021.1.4	60.14075003"
"26	0	26	0							Social	UD	Observational	images/Observational_trial.png	-0.5	27	181.4991475	None	182.4980109	183.7631259	183.2475123	183.7631259	None		185.5286388	None	184.2628162	185.2785005	181.0104853	None	181.4991475	None	0.7	0.3	?	185.5442812	None	186.0275575	187.5265063	185.5442812	None	185.5442812	None	2	2	52	F	2021_Aug_01_2023	Social Reinforcement Learning	2021.1.4	60.14075003"
"27	0	27	0							Social	UD	Private	images/Private_trial.png	0.5	28	188.0755614	None	189.0747559	190.3238745	189.8278674	190.3407417	d	0.641552086	190.3238745	None	190.9903	None	187.5875405	None	188.0755614	None	0.7	0.3	-1	191.0088541	None	191.4893361	None	191.0088541	None	191.0088541	None	2	2	52	F	2021_Aug_01_2023	Social Reinforcement Learning	2021.1.4	60.14075003"
"28	0	28	0							Social	UD	Private	images/Private_trial.png	0.5	29	193.4878388	None	194.4877946	195.75256	195.241281	195.75256	d	0.552761637	195.7355297	None	196.3183361	None	193.0046906	None	193.4878388	None	0.7	0.3	1	196.3327488	None	196.8177779	None	196.3327488	None	196.3327488	None	2	2	52	F	2021_Aug_01_2023	Social Reinforcement Learning	2021.1.4	60.14075003"
"29	0	29	0							Social	UD	Observational	images/Observational_trial.png	-0.5	30	198.8357319	None	199.832394	201.0806814	200.58265	201.0970216	None		202.8621133	None	201.5964459	202.5960007	198.3394834	None	198.8357319	None	0.7	0.3	?	202.8866778	None	203.3782203	None	202.8866778	None	202.8866778	None	2	2	52	F	2021_Aug_01_2023	Social Reinforcement Learning	2021.1.4	60.14075003"
"30	0	30	0							Social	UD	Observational	images/Observational_trial.png	-0.5	31	205.3771525	None	206.3754699	207.640999	207.1274887	207.640999	None		209.3891615	None	208.1237605	209.1392449	204.8789781	None	205.3771525	None	0.7	0.3	?	209.393619	None	209.8897664	None	209.393619	None	209.393619	None	2	2	52	F	2021_Aug_01_2023	Social Reinforcement Learning	2021.1.4	60.14075003"
"31	0	31	0							Social	UD	Observational	images/Observational_trial.png	-0.5	32	211.9047001	None	212.9197535	214.1731309	213.6685668	214.1731309	None		215.9334451	None	214.6702802	215.6835432	211.4161146	None	211.9047001	None	0.7	0.3	?	215.9508875	None	216.4355931	217.9479068	215.9508875	None	215.9508875	None	2	2	52	F	2021_Aug_01_2023	Social Reinforcement Learning	2021.1.4	60.14075003"
